smiles,valid,novel,pred_logD_A,pred_logD_B,pred_sep,uncertainty,round,ucb,lcb,scaffold
CC1CCCCC1P(=S)(S)C1CCCCC1C,True,True,1.694,0.535,1.159,0.087,4,1.246,1.072,S=[PH](C1CCCCC1)C1CCCCC1
CC1CCC(P(=S)(S)C2CCC(C)CC2)CC1,True,True,1.762,0.588,1.175,0.127,3,1.302,1.048,S=[PH](C1CCCCC1)C1CCCCC1
CCC1CCC(P(=S)(S)C2CCC(CC)CC2)CC1,True,True,1.762,0.639,1.123,0.098,4,1.221,1.025,S=[PH](C1CCCCC1)C1CCCCC1
CC1CCCC(P(=S)(S)C2CCCC(C)C2)C1,True,True,1.614,0.518,1.096,0.098,4,1.1940000000000002,0.9980000000000001,S=[PH](C1CCCCC1)C1CCCCC1
CC(C)C1CCC(P(=S)(S)C2CCC(C(C)C)CC2)CC1,True,True,1.731,0.644,1.087,0.135,4,1.222,0.952,S=[PH](C1CCCCC1)C1CCCCC1
S=P(S)(C1CCCCCC1)C1CCCCCC1,True,True,1.697,0.673,1.024,0.114,3,1.1380000000000001,0.91,S=[PH](C1CCCCCC1)C1CCCCCC1
CCCCCCCCN(CCCCCCCC)C(=S)c1ccccn1,True,True,0.875,-0.103,0.978,0.087,3,1.065,0.891,c1ccncc1
CCCCCCCCN(CCCCCCCC)C(=S)c1cccc(C)n1,True,True,0.821,-0.095,0.916,0.075,3,0.991,0.8410000000000001,c1ccncc1
CCCCCCCCN(CCCCCCCC)C(=S)c1cnccn1,True,True,0.893,-0.021,0.914,0.073,4,0.987,0.8410000000000001,c1cnccn1
CCCCCCCCCCN(CCCCCCCCCC)C(=S)c1ccnc(-c2cc(C(=S)N(CCCCCCCCCC)CCCCCCCCCC)ccn2)c1,True,True,0.672,-0.324,0.996,0.155,2,1.151,0.841,c1ccc(-c2ccccn2)nc1
CCCCCCCCN(CCCCCCCC)C(=S)c1nccc2ccccc12,True,True,0.78,-0.138,0.918,0.134,3,1.052,0.784,c1ccc2cnccc2c1
CCCCCCCCCCN(CCCCCCCCCC)C(=S)c1ccccn1,True,True,0.86,0.005,0.855,0.098,1,0.953,0.757,c1ccncc1
CCCCCCCCN(CCCCCCCC)C(=S)c1cccc(CC)n1,True,True,0.768,-0.068,0.836,0.094,4,0.9299999999999999,0.742,c1ccncc1
CCCCCCCCCCN(CCCCCCCCCC)C(=S)c1nccc2ccccc12,True,True,0.834,-0.034,0.869,0.136,3,1.005,0.733,c1ccc2cnccc2c1
CCCCCCCCN(CCCCCCCC)C(=S)c1cccnn1,True,True,0.782,-0.041,0.823,0.097,3,0.9199999999999999,0.726,c1ccnnc1
