smiles,valid,novel,pred_logD_A,pred_logD_B,pred_sep,uncertainty,round,ucb,lcb,scaffold
CC(C)(C)c1ccc(P(=S)(S)c2ccc(C(C)(C)C)cc2)cc1,True,True,1.41,0.235,1.175,0.262,1,1.437,0.913,S=[PH](c1ccccc1)c1ccccc1
CC1CCC(P(=S)(S)C2CCC(C)CC2)CC1,True,True,1.762,0.588,1.175,0.127,3,1.302,1.048,S=[PH](C1CCCCC1)C1CCCCC1
S=P(S)(C1CCCCC1)C1CCCCC1,True,True,1.686,0.57,1.116,0.171,4,1.2870000000000001,0.9450000000000001,S=[PH](C1CCCCC1)C1CCCCC1
CC1CCCCC1P(=S)(S)C1CCCCC1C,True,True,1.694,0.535,1.159,0.087,4,1.246,1.072,S=[PH](C1CCCCC1)C1CCCCC1
CCCCCC(CCC)CP(=S)(S)CC(CCC)CCCCC,True,True,1.507,0.437,1.069,0.16,4,1.2289999999999999,0.9089999999999999,
CC(C)C1CCC(P(=S)(S)C2CCC(C(C)C)CC2)CC1,True,True,1.731,0.644,1.087,0.135,4,1.222,0.952,S=[PH](C1CCCCC1)C1CCCCC1
CCC1CCC(P(=S)(S)C2CCC(CC)CC2)CC1,True,True,1.762,0.639,1.123,0.098,4,1.221,1.025,S=[PH](C1CCCCC1)C1CCCCC1
S=P(S)(c1ccccc1)C1CCCCC1,True,True,1.281,0.327,0.954,0.267,3,1.221,0.6869999999999999,S=[PH](c1ccccc1)C1CCCCC1
CC1CCCC(P(=S)(S)C2CCCC(C)C2)C1,True,True,1.614,0.518,1.096,0.098,4,1.1940000000000002,0.9980000000000001,S=[PH](C1CCCCC1)C1CCCCC1
CCCCC(CC)CP(=S)(S)CC(CC)CCCC,True,True,1.597,0.569,1.027,0.163,3,1.19,0.8639999999999999,
CCCCCCCCP(=S)(S)CCCCCCCC,True,True,1.181,0.284,0.897,0.272,2,1.169,0.625,
Cc1ccc(P(=S)(S)C2CCCCC2)cc1,True,True,1.267,0.358,0.91,0.258,3,1.1680000000000001,0.652,S=[PH](c1ccccc1)C1CCCCC1
CCCCCCCCCCN(CCCCCCCCCC)C(=S)c1ccnc(-c2cc(C(=S)N(CCCCCCCCCC)CCCCCCCCCC)ccn2)c1,True,True,0.672,-0.324,0.996,0.155,2,1.151,0.841,c1ccc(-c2ccccn2)nc1
S=P(S)(C1CCCCCC1)C1CCCCCC1,True,True,1.697,0.673,1.024,0.114,3,1.1380000000000001,0.91,S=[PH](C1CCCCCC1)C1CCCCCC1
CCCCC(CC)COP(=S)(S)c1ccccc1,True,True,1.167,0.225,0.943,0.182,1,1.125,0.7609999999999999,c1ccccc1
