smiles,valid,novel,cand_unc,explore_pair,explore_SF,explore_unc,explore_support,trusted_pair,trusted_SF,trusted_unc,trusted_support
S=P(S)(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,True,True,0.262,Gd(III)/Nd(III),15.0,0.358,79,Gd(III)/Nd(III),15.0,0.358,79
c1ccc(-c2cccc(-c3nnc(C4CCCC4)c(C4CCCC4)n3)n2)nc1,True,True,0.255,Cm(III)/La(III),29.5,0.412,5,Am(III)/La(III),20.9,0.444,36
S=P(S)(C1CCC(C2CCCC2)CC1)C1CCC(C2CCCC2)CC1,True,True,0.267,Cm(III)/La(III),27.8,0.377,5,Am(III)/La(III),25.8,0.387,36
S=P(S)(C1CCC(C2CCCCC2)CC1)C1CCC(C2CCCCC2)CC1,True,True,0.256,Cm(III)/La(III),28.3,0.411,5,Am(III)/La(III),22.4,0.391,36
CC(C)(C)C1CCC(P(=S)(S)C2CCC(C(C)(C)C)CC2)CC1,True,True,0.242,Am(III)/La(III),40.0,0.31,36,Am(III)/La(III),40.0,0.31,36
CC(C)(C)CC1CCC(P(=S)(S)C2CCC(CC(C)(C)C)CC2)CC1,True,True,0.251,Cm(III)/La(III),40.5,0.322,5,Am(III)/La(III),39.5,0.296,36
CC(C)(C)CP(=S)(S)CC(C)(C)C,True,True,0.211,Am(III)/Pu(IV),32.6,0.279,13,Am(III)/Pr(III),24.7,0.317,33
CC(C)(C)c1ccc(-c2nnc(-c3cccc(-c4nc(-c5ccc(C(C)(C)C)cc5)n(-c5ccc(C(C)(C)C)cc5)n4)n3)nc2-c2ccc(C(C)(C)C)cc2)cc1,True,True,0.271,Cm(III)/La(III),25.7,0.517,5,Am(III)/La(III),13.3,0.545,36
CC(C)(C)c1ccc(P(=S)(S)c2ccc(C(C)(C)C)cc2)cc1,True,True,0.264,Cm(III)/La(III),38.5,0.317,5,Am(III)/La(III),30.5,0.367,36
CC(C)(C)c1ccc(P(=S)(S)c2ccc(F)cc2)cc1,True,True,0.258,Cm(III)/La(III),27.0,0.27,5,Am(III)/La(III),18.5,0.31,36
CC(C)C1CCC(C(C)(C)C)C(P(=S)(S)C2CC(C(C)(C)C)CCC2C(C)C)C1,True,True,0.247,Cm(III)/La(III),22.7,0.421,5,La(III)/Nd(III),18.1,0.413,94
CC(C)C1CCC(C(C)(C)C)CC1P(=S)(S)C1CC(C(C)(C)C)CCC1C(C)C,True,True,0.248,Cm(III)/La(III),21.1,0.42,5,La(III)/Nd(III),16.2,0.416,94
CC1CCC(C(C)C)C(P(=S)(S)C2CC(C)CCC2C(C)C)C1,True,True,0.27,Cm(III)/La(III),38.6,0.382,5,Am(III)/La(III),36.0,0.393,36
CC1CCC(C(C)C)C(P(=S)(S)C2CCCCC2)C1,True,True,0.262,Am(III)/Pu(IV),30.9,0.319,13,Am(III)/Gd(III),26.0,0.327,22
CC(C)C1CCC(P(=S)(S)C2CCC(C(C)C)CC2)CC1,True,True,0.27,Am(III)/Pu(IV),40.2,0.33,13,Am(III)/La(III),37.5,0.315,36
CC(C)CN(CC(C)C)C(=S)CC(=S)N(CC(C)C)CC(C)C,True,True,0.222,Am(III)/Pu(IV),18.6,0.277,13,Am(III)/Gd(III),14.1,0.28,22
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4nnc5c(n4)C(C)(C)CCC5(C)C)n3)nnc21,True,True,0.248,Cm(III)/La(III),20.0,0.427,5,La(III)/Nd(III),13.5,0.432,94
CC1(C2CCC(P(=S)(S)C3CCC(C4(C)CCCCC4)CC3)CC2)CCCCC1,True,True,0.237,Cm(III)/La(III),28.4,0.386,5,Am(III)/La(III),23.0,0.338,36
CC1CC(P(=S)(S)C2CC(C)CC(C)(C)C2)CC(C)(C)C1,True,True,0.264,Am(III)/Pu(IV),35.5,0.323,13,Am(III)/Gd(III),29.9,0.332,22
CCC(C)(C)CP(=S)(S)CC(C)(C)CC,True,True,0.229,Am(III)/Pu(IV),30.8,0.308,13,Am(III)/La(III),21.7,0.294,36
CCC(C)C1CCC(P(=S)(S)C2CCC(C(C)CC)CC2)CC1,True,True,0.259,Cm(III)/La(III),45.5,0.286,5,Am(III)/La(III),39.3,0.313,36
CCC(CC)CC1CCC(P(=S)(S)C2CCC(CC(CC)CC)CC2)CC1,True,True,0.246,Cm(III)/La(III),37.3,0.356,5,Am(III)/La(III),26.2,0.34,36
CCC(CC)CCCCCN(CC)C(=S)CCN(CCCCCC(CC)CC)C(=S)CCC(CC)CC,True,True,0.221,Cm(III)/La(III),39.8,0.318,5,Am(III)/La(III),19.3,0.285,36
CCC1CCC(C(C)C)C(P(=S)(S)C2CC(CC)CCC2C(C)C)C1,True,True,0.263,Cm(III)/La(III),35.6,0.39,5,Am(III)/La(III),30.9,0.377,36
CCC1CCC(P(=S)(S)C2CCC(CC)CC2)CC1,True,True,0.255,Am(III)/Pu(IV),46.9,0.278,13,Am(III)/Gd(III),38.9,0.289,22
CCC1CCC(P(=S)(S)C2CCCCC2)CC1,True,True,0.25,Am(III)/Pu(IV),24.5,0.289,13,Am(III)/Gd(III),18.4,0.292,22
CCCC(C)(C)CP(=S)(S)CC(C)(C)CCC,True,True,0.24,Am(III)/Pu(IV),34.1,0.322,13,Am(III)/La(III),25.6,0.321,36
CCCCC(CC)CN(CC(CC)CCCC)C(=S)CC(=S)N(CC(CC)CCCC)CC(CC)CCCC,True,True,0.223,Cm(III)/Gd(III),19.1,0.306,5,Gd(III)/Nd(III),14.5,0.317,79
CCCCC(CC)CN(CC(CC)CCCC)C(=S)CCC(=S)N(CC(CC)CCCC)CC(CC)CCCC,True,True,0.209,Cm(III)/Gd(III),18.4,0.275,5,Gd(III)/Nd(III),13.1,0.305,79
CCCCC(CC)CN(CC(CC)CCCC)C(=S)CCCC(=S)N(CC(CC)CCCC)CC(CC)CCCC,True,True,0.215,Cm(III)/La(III),23.4,0.369,5,La(III)/Nd(III),14.1,0.373,94
CCCCC(CC)CN(CC(CC)CCCC)C(=S)COCC(=S)N(CC(CC)CCCC)CC(CC)CCCC,True,True,0.223,Cm(III)/La(III),17.8,0.344,5,La(III)/Nd(III),15.0,0.347,94
CCCCC(CC)CN(CC(CC)CCCC)C(=S)c1ccccn1,True,True,0.202,Cm(III)/La(III),49.7,0.349,5,Am(III)/La(III),24.6,0.328,36
CCCCC(CC)CP(=S)(S)CC(CC)CCCC,True,True,0.246,Cm(III)/La(III),48.3,0.306,5,Am(III)/La(III),38.0,0.304,36
CCCCC(CC)CP(=S)(S)c1ccc(F)cc1,True,True,0.293,Cm(III)/La(III),33.3,0.35,5,Am(III)/La(III),19.6,0.376,36
CCCCC(CCCC)C(=S)N(CCCC)CC(=S)N(CCCC)CCCC,True,True,0.21,Cm(III)/La(III),30.1,0.307,5,La(III)/Nd(III),18.1,0.349,94
CCCCC1CCC(P(=S)(S)C2CCC(CCCC)CC2)CC1,True,True,0.251,Cm(III)/La(III),37.2,0.326,5,Am(III)/La(III),36.3,0.333,36
CCCCCC1CCC(P(=S)(S)C2CCC(CCCCC)CC2)CC1,True,True,0.25,Cm(III)/La(III),37.2,0.347,5,Am(III)/La(III),32.1,0.348,36
CCCCCCC1CCC(P(=S)(S)C2CCC(CCCCCC)CC2)CC1,True,True,0.254,Cm(III)/La(III),33.8,0.382,5,Am(III)/La(III),25.5,0.368,36
CCCCCCCCCCN(CCCCCCCCCC)C(=S)c1ccccn1,True,True,0.216,Cm(III)/La(III),84.0,0.382,5,Am(III)/La(III),39.1,0.376,36
CCCCCCCCN(CC(=S)N(CCCCCCCC)CCCCCCCC)C(=O)c1ccccn1,True,True,0.217,Cm(III)/La(III),17.6,0.352,5,La(III)/Nd(III),14.7,0.307,94
CCCCCCCCN(CCCCCCCC)C(=O)CSCC(=O)N(CCCCCCCC)CCCCCCCC,True,True,0.196,Cm(III)/La(III),44.2,0.365,5,La(III)/Nd(III),17.3,0.275,94
CCCCCCCCN(CCCCCCCC)C(=O)c1cccc(C(=S)N(CCCCCCCC)CCCCCCCC)n1,True,True,0.204,Cm(III)/La(III),81.8,0.308,5,Am(III)/La(III),38.2,0.331,36
CCCCCCCCN(CCCCCCCC)C(=S)CC(=S)N(CCCCCCCC)CCCCCCCC,True,True,0.202,Cm(III)/La(III),29.7,0.321,5,Am(III)/La(III),14.5,0.268,36
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccccc2n1,True,True,0.229,Cm(III)/La(III),83.1,0.435,5,Am(III)/La(III),36.9,0.441,36
CCCCCCCCN(CCCCCCCC)C(=S)c1cccc(C)n1,True,True,0.237,Cm(III)/La(III),85.0,0.431,5,Am(III)/La(III),37.8,0.431,36
CCCCCCCCN(CCCCCCCC)C(=S)c1cccc(C(=S)N(CCCCCCCC)CCCCCCCC)n1,True,True,0.193,Cm(III)/La(III),72.5,0.295,5,Am(III)/La(III),32.1,0.272,36
CCCCCCCCN(CCCCCCCC)C(=S)c1ccccn1,True,True,0.221,Cm(III)/La(III),72.0,0.435,5,Am(III)/La(III),35.5,0.429,36
CCCCCCCCNC(=S)c1cccc(C(=S)NCCCCCCCC)n1,True,True,0.291,Cm(III)/La(III),153.9,0.467,5,Am(III)/La(III),80.8,0.428,36
CCCCCCCCOc1ccccc1P(=S)(S)CCCC,True,True,0.218,Cm(III)/La(III),24.9,0.408,5,Am(III)/La(III),16.7,0.417,36
CCCCCCCCP(=S)(S)C1CCCCC1,True,True,0.275,Cm(III)/Pr(III),23.0,0.353,5,Am(III)/Pr(III),16.3,0.367,33
CCCCCCCCc1ccc(P(=S)(S)CC(CC)CCCC)cc1,True,True,0.269,Cm(III)/La(III),40.2,0.368,5,Am(III)/La(III),17.9,0.361,36
CCCCCCN(CCCCCC)C(=O)CSCC(=O)N(CCCCCC)CCCCCC,True,True,0.216,Cm(III)/La(III),42.6,0.364,5,La(III)/Nd(III),15.4,0.328,94
CCCCCCN(CCCCCC)C(=S)CC(=S)N(CCCCCC)CCCCCC,True,True,0.2,Cm(III)/La(III),39.2,0.339,5,Am(III)/La(III),17.0,0.29,36
CCCCCCN(CCCCCC)C(=S)CCCC(=S)N(CCCCCC)CCCCCC,True,True,0.212,Cm(III)/La(III),49.4,0.378,5,Am(III)/La(III),26.0,0.309,36
CCCCCCN(CCCCCC)C(=S)c1ccc2ccccc2n1,True,True,0.236,Cm(III)/La(III),63.4,0.428,5,Am(III)/La(III),29.4,0.443,36
CCCCCCN(CCN(CCCCCC)C(=O)c1ccccn1)C(=O)c1ccccn1,True,True,0.21,La(III)/Nd(III),18.2,0.348,94,La(III)/Nd(III),18.2,0.348,94
CCCCCCP(=S)(S)c1ccc(C(C)(C)C)cc1,True,True,0.241,Cm(III)/Pr(III),26.5,0.239,5,Am(III)/Pr(III),15.8,0.3,33
CCCCCCP(=S)(S)c1ccc2ccccc2c1,True,True,0.273,Cm(III)/Pr(III),36.0,0.306,5,Am(III)/Pr(III),19.7,0.343,33
CCCCCCSc1ccc(-c2nc(N(CCCC)CCCC)nc(N(CCCC)CCCC)n2)nc1,True,True,0.206,Cm(III)/La(III),49.9,0.316,5,La(III)/Nd(III),16.3,0.357,94
CCCCCCc1cc(-c2nc(-c3ncccn3)c(CCCCCC)nc2CCCCCC)nc(-c2ccccn2)n1,True,True,0.21,Cm(III)/La(III),64.5,0.464,5,Dy(III)/La(III),37.1,0.408,77
CCCCCCc1ccc(-c2nnc(-c3cccc(-c4nnc(CCCCCC)n4-c4ccccc4)n3)n2-c2ccccc2)nc1,True,True,0.208,Cm(III)/La(III),27.4,0.437,5,Dy(III)/La(III),20.3,0.402,77
CCCCCCc1nc(CCCCCC)nc(-c2cccc(-c3nc(CCCCCC)nc(CCCCCC)n3)n2)n1,True,True,0.275,Cm(III)/La(III),65.3,0.479,5,Dy(III)/La(III),25.9,0.455,77
CCCCCCc1nnc(-c2cccc(-c3nnc(CCCCCC)nn3)n2)nn1,True,True,0.285,Cm(III)/La(III),28.2,0.417,5,Dy(III)/La(III),19.1,0.393,77
CCCCCN(CCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCC)CCCCC)nc3c2n1,True,True,0.265,La(III)/Yb(III),15.7,0.385,62,La(III)/Yb(III),15.7,0.385,62
CCCCCN(CCCCC)C(=S)CCCC(=S)N(CCCCC)CCCCC,True,True,0.232,Cm(III)/La(III),52.0,0.39,5,Am(III)/La(III),24.8,0.351,36
CCCCCc1nnc(-c2cccc(-c3nnc(CCCCC)c(CCCCC)n3)n2)nc1CCCCC,True,True,0.226,Cm(III)/La(III),59.9,0.456,5,Dy(III)/La(III),51.5,0.455,77
CCCCCc1cnc(-c2cccc(-c3ncc(CCCCC)nn3)n2)nn1,True,True,0.267,Cm(III)/La(III),34.9,0.505,5,Am(III)/La(III),22.1,0.485,36
CCCCN(CCCC)C(=O)CSCC(=O)N(CCCC)CCCC,True,True,0.228,Cm(III)/La(III),32.0,0.368,5,La(III)/Nd(III),13.3,0.348,94
CCCCN(CCCC)C(=S)CC(=S)N(CCCC)CCCC,True,True,0.224,Cm(III)/La(III),30.8,0.381,5,Am(III)/La(III),21.1,0.362,36
CCCCN(CCCC)C(=S)CCCC(=S)N(CCCC)CCCC,True,True,0.235,Cm(III)/La(III),43.1,0.419,5,Am(III)/La(III),27.1,0.398,36
CCCCN(CCCC)C(=S)c1ccc(-c2ccc(C(=S)N(CCCC)CCCC)nc2)nc1,True,True,0.26,Cm(III)/La(III),51.9,0.39,5,Am(III)/La(III),23.0,0.402,36
CCCCN(CCCC)C(=S)c1cccc(C(=S)N(CCCC)CCCC)n1,True,True,0.189,Cm(III)/La(III),59.0,0.266,5,Am(III)/La(III),21.4,0.281,36
CCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCC)c(CCCC)n4)n3)n2)nc1CCCC,True,True,0.244,Dy(III)/La(III),47.6,0.467,77,Dy(III)/La(III),47.6,0.467,77
CCCCc1cnc(-c2cccc(-c3cccc(-c4ncc(CCCC)nn4)n3)n2)nn1,True,True,0.339,Dy(III)/La(III),22.8,0.519,77,Dy(III)/La(III),22.8,0.519,77
CCc1nnc(-c2ccc3ccc4ccc(-c5nnc(CC)c(CC)n5)nc4c3n2)nc1CC,True,True,0.351,Dy(III)/La(III),23.5,0.493,77,Dy(III)/La(III),23.5,0.493,77
CCc1nnc(-c2cccc(-c3nnc(CC)c(CC)n3)n2)nc1CC,True,True,0.328,Cm(III)/La(III),26.7,0.519,5,Am(III)/La(III),15.2,0.539,36
