smiles,valid,novel,best_pair,best_gap,best_SF,best_unc,cand_unc,best_support
CCCCCCCCN(CCCCCCCC)C(=O)c1cccc(C(=S)N(CCCCCCCC)CCCCCCCC)n1,True,True,Cm(III)/La(III),1.913,81.8,0.308,0.204,5
CCCCCCCCN(CCCCCCCC)C(=S)c1cccc(C(=S)N(CCCCCCCC)CCCCCCCC)n1,True,True,Cm(III)/La(III),1.861,72.5,0.295,0.193,5
CCCCN(CCCC)C(=S)c1cccc(C(=S)N(CCCC)CCCC)n1,True,True,Cm(III)/La(III),1.771,59.0,0.266,0.189,5
CCCCCCSc1ccc(-c2nc(N(CCCC)CCCC)nc(N(CCCC)CCCC)n2)nc1,True,True,Cm(III)/La(III),1.698,49.9,0.316,0.206,5
CCCCC(CC)CP(=S)(S)CC(CC)CCCC,True,True,Cm(III)/La(III),1.684,48.3,0.306,0.246,5
CCC1CCC(P(=S)(S)C2CCC(CC)CC2)CC1,True,True,Am(III)/Pu(IV),1.671,46.9,0.278,0.255,13
S=P(S)(CC1CCCCC1)CC1CCCCC1,True,True,Am(III)/Pu(IV),1.658,45.5,0.25,0.24,13
CCC(C)C1CCC(P(=S)(S)C2CCC(C(C)CC)CC2)CC1,True,True,Cm(III)/La(III),1.658,45.5,0.286,0.259,5
CC(C)(C)C1CCC(P(=S)(S)C2CCC(C(C)(C)C)CC2)CC1,True,True,Am(III)/La(III),1.602,40.0,0.31,0.242,36
Cc1ccc(P(=S)(S)c2ccc(C)cc2)cc1,True,True,Cm(III)/Pr(III),1.59,38.9,0.306,0.258,5
CCCCCCP(=S)(S)c1ccc2ccccc2c1,True,True,Cm(III)/Pr(III),1.557,36.0,0.306,0.273,5
CC(C)(C)CP(=S)(S)CC(C)(C)C,True,True,Am(III)/Pu(IV),1.513,32.6,0.279,0.211,13
CCC(C)(C)CP(=S)(S)CC(C)(C)CC,True,True,Am(III)/Pu(IV),1.489,30.8,0.308,0.229,13
CCCCC(CCCC)C(=S)N(CCCC)CC(=S)N(CCCC)CCCC,True,True,Cm(III)/La(III),1.479,30.1,0.307,0.21,5
CC(C)(C)c1ccc(P(=S)(S)c2ccc(F)cc2)cc1,True,True,Cm(III)/La(III),1.432,27.0,0.27,0.258,5
CCCCCCP(=S)(S)c1ccc(C(C)(C)C)cc1,True,True,Cm(III)/Pr(III),1.423,26.5,0.239,0.241,5
S=P(S)(c1cccs1)C1CCCCC1,True,True,Cm(III)/Pr(III),1.404,25.3,0.247,0.199,5
CCC1CCC(P(=S)(S)C2CCCCC2)CC1,True,True,Am(III)/Pu(IV),1.39,24.5,0.289,0.25,13
CCCCC(CC)CN(CC(CC)CCCC)C(=S)CC(=S)N(CC(CC)CCCC)CC(CC)CCCC,True,True,Cm(III)/Gd(III),1.28,19.1,0.306,0.223,5
CC(C)CN(CC(C)C)C(=S)CC(=S)N(CC(C)C)CC(C)C,True,True,Am(III)/Pu(IV),1.269,18.6,0.277,0.222,13
CCCCC(CC)CN(CC(CC)CCCC)C(=S)CCC(=S)N(CC(CC)CCCC)CC(CC)CCCC,True,True,Cm(III)/Gd(III),1.265,18.4,0.275,0.209,5
