method,coverage,n,signed_R2,signed_RMSE,direction_acc,spearman,useful_F1,calibration_rho
err (incumbent),100%,4598,0.188,1.453,0.656,0.462,0.439,0.201
err (incumbent),75%,3448,0.205,1.263,0.65,0.463,0.467,0.201
err (incumbent),50%,2299,0.238,0.915,0.639,0.445,0.327,0.201
err (incumbent),25%,1149,0.185,1.015,0.633,0.431,0.303,0.201
err (incumbent),10%,459,-0.003,0.956,0.586,0.416,0.305,0.201
hybrid,100%,4598,0.188,1.453,0.656,0.462,0.439,0.215
hybrid,75%,3448,0.239,1.229,0.651,0.473,0.458,0.215
hybrid,50%,2299,0.286,0.888,0.649,0.473,0.409,0.215
hybrid,25%,1149,0.22,0.916,0.627,0.427,0.288,0.215
hybrid,10%,459,0.15,0.953,0.442,0.293,0.361,0.215
ens_bag,100%,4598,0.188,1.453,0.656,0.462,0.439,0.31
ens_bag,75%,3448,0.253,1.313,0.682,0.542,0.471,0.31
ens_bag,50%,2299,0.37,0.882,0.695,0.557,0.541,0.31
ens_bag,25%,1149,0.296,0.916,0.657,0.468,0.475,0.31
ens_bag,10%,459,0.276,0.822,0.806,0.529,0.592,0.31
rf_var,100%,4598,0.188,1.453,0.656,0.462,0.439,0.312
rf_var,75%,3448,0.238,1.2,0.666,0.498,0.456,0.312
rf_var,50%,2299,0.337,0.933,0.666,0.511,0.501,0.312
rf_var,25%,1149,0.143,0.788,0.648,0.382,0.237,0.312
rf_var,10%,459,0.067,0.782,0.606,0.422,0.294,0.312
ad_tanimoto,100%,4598,0.188,1.453,0.656,0.462,0.439,0.008
ad_tanimoto,75%,3448,0.139,1.512,0.629,0.395,0.369,0.008
ad_tanimoto,50%,2299,0.068,1.409,0.582,0.297,0.303,0.008
ad_tanimoto,25%,1149,-0.101,0.741,0.564,0.228,0.109,0.008
ad_tanimoto,10%,459,-0.341,0.715,0.519,0.291,0.087,0.008
desc_knn,100%,4598,0.188,1.453,0.656,0.462,0.439,0.022
desc_knn,75%,3448,0.144,1.554,0.632,0.403,0.349,0.022
desc_knn,50%,2299,0.048,1.314,0.602,0.277,0.285,0.022
desc_knn,25%,1149,0.07,0.917,0.611,0.284,0.083,0.022
desc_knn,10%,459,0.107,1.136,0.686,0.318,0.012,0.022
