pair,n,R2
Nd(III)/Tb(III),144.0,0.706601835095082
La(III)/Nd(III),90.0,0.639555120130268
Am(III)/Pu(IV),38.0,0.5666105896081561
Am(III)/Lu(III),35.0,0.34942966331080194
Cm(III)/Dy(III),80.0,-0.19383841853361417
Dy(III)/Yb(III),88.0,-0.2759626074607504
Am(III)/Eu(III),120.0,-0.27697183505357503
Cm(III)/La(III),36.0,-0.2824823779014576
Am(III)/Yb(III),57.0,-0.631687319907156
Gd(III)/Tb(III),71.0,-0.6563114914452446
Ce(III)/Pr(III),31.0,-0.7604293491077241
La(III)/Pr(III),39.0,-1.269136267628331
Dy(III)/Er(III),240.0,-1.5052853130564658
Er(III)/Nd(III),55.0,-1.6564375965404854
Eu(III)/Gd(III),37.0,-1.9265274920288666
Cm(III)/Tb(III),72.0,-2.9895545585995102
Dy(III)/Nd(III),113.0,-3.0715124488923182
Eu(III)/La(III),47.0,-3.277285601815941
Er(III)/Tb(III),97.0,-3.7443833346458515
La(III)/Tb(III),116.0,-4.515637814345555
Eu(III)/Tb(III),260.0,-5.523462319070558
Dy(III)/Eu(III),307.0,-5.632403709965435
Lu(III)/Nd(III),43.0,-6.041423587801445
Dy(III)/Tb(III),804.0,-6.314504938346316
La(III)/Lu(III),47.0,-7.005608390761532
Er(III)/Eu(III),42.0,-10.780963612342662
Dy(III)/Gd(III),76.0,-15.833069419946852
Dy(III)/La(III),189.0,-16.853274656724324
Er(III)/La(III),57.0,-21.846395251337793
Tb(III)/Tm(III),82.0,-26.79124883956938
