rank,SMILES,Metal,Acid_conc_M,Temperature_K,Pred_LogD,lo90,hi90,UCB_logD,confidence_pred_err,predicted_zone
1,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,Er(III),5.0,298.15,-0.8452,-14.2205,12.5301,12.5301,4.9199,low (D<0.5)
2,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,U(VI),2.0,293.15,2.2816,-7.5049,12.0681,12.0681,3.5999,high (D>10)
3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,U(VI),2.2,298.15,2.1206,-6.368,10.6092,10.6092,3.1224,high (D>10)
4,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,Er(III),3.0,298.15,-2.9518,-16.1273,10.2236,10.2236,4.8464,low (D<0.5)
5,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,Am(III),0.95,298.15,2.3319,-5.4208,10.0845,10.0845,2.8517,high (D>10)
6,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,U(VI),0.5,298.15,1.136,-7.7901,10.0621,10.0621,3.2834,high (D>10)
7,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,Er(III),3.0,298.15,-0.3916,-10.7875,10.0043,10.0043,3.824,low (D<0.5)
8,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,U(VI),2.0,298.15,1.8094,-5.7744,9.3932,9.3932,2.7896,high (D>10)
9,CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,U(VI),2.0,298.15,2.4195,-4.5045,9.3434,9.3434,2.5469,high (D>10)
10,CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,Eu(III),2.0,295.15,2.5397,-3.7187,8.7981,8.7981,2.3021,high (D>10)
11,CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,Eu(III),4.0,298.15,2.921,-2.7969,8.6389,8.6389,2.1033,high (D>10)
12,CCCCCCP(=O)(CCCCCC)CC(=O)N(C(C)CC)C(C)CC,Am(III),0.5,298.15,2.0589,-4.4063,8.5241,8.5241,2.3781,high (D>10)
13,CCCCCCCC(=O)N(CCCCCC)CCCCCC,U(VI),6.0,298.15,3.7757,-0.7795,8.3309,8.3309,1.6756,high (D>10)
14,CCCCN(C)C(=O)CC(=O)N(C)CCCC,U(VI),3.0,295.15,2.0921,-3.9517,8.1359,8.1359,2.2231,high (D>10)
15,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,La(III),2.0,298.15,4.2131,0.4084,8.0178,8.0178,1.3995,high (D>10)
16,CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,Eu(III),5.0,298.15,2.4171,-2.9658,7.8001,7.8001,1.98,high (D>10)
17,CCCCCCP(=O)(CCCCCC)CC(=O)N(CC(C)C)CC(C)C,Am(III),1.0,298.15,-0.1473,-7.8576,7.563,7.563,2.8361,medium (0.5<=D<=10)
18,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,Er(III),3.0,298.15,-0.8539,-9.2497,7.542,7.542,3.0883,low (D<0.5)
19,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,La(III),0.1,298.15,2.8448,-1.8511,7.5407,7.5407,1.7273,high (D>10)
20,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,La(III),0.1,298.15,2.8993,-1.7226,7.5213,7.5213,1.7001,high (D>10)
21,CCCCCCN(CCCCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCCCC)CCCCCC,Th(IV),6.0,298.15,1.0044,-5.496,7.5047,7.5047,2.3911,high (D>10)
22,CCCCCOP(=O)(CCCCC)OCCCCC,Pu(VI),2.004107981,295.15,1.5449,-4.3734,7.4633,7.4633,2.177,high (D>10)
23,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,Tb(III),5.3,295.15,2.0922,-3.2287,7.413,7.413,1.9572,high (D>10)
24,CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,U(VI),0.5,298.15,-0.0562,-7.2626,7.1503,7.1503,2.6508,medium (0.5<=D<=10)
25,CCCCOP(=O)(OCCCC)OCCCC,U(VI),1.0,298.15,-2.1343,-11.3417,7.0732,7.0732,3.3868,low (D<0.5)
26,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,Np(IV),1.864696296,293.15,2.3828,-2.2381,7.0037,7.0037,1.6997,high (D>10)
27,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,La(III),1.0,298.15,2.5349,-1.9166,6.9865,6.9865,1.6374,high (D>10)
28,CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,Eu(III),2.0,298.15,1.3914,-3.7557,6.5384,6.5384,1.8933,high (D>10)
29,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,Eu(III),2.0,298.15,1.3914,-3.7557,6.5384,6.5384,1.8933,high (D>10)
30,CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,Eu(III),5.0,298.15,2.5303,-1.4445,6.5051,6.5051,1.4621,high (D>10)
31,CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,Eu(III),4.0,298.15,1.9431,-2.5355,6.4218,6.4218,1.6474,high (D>10)
32,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,Am(III),1.0,298.15,1.2758,-3.8065,6.358,6.358,1.8694,high (D>10)
33,Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,Am(III),1.0,298.15,1.2758,-3.8065,6.358,6.358,1.8694,high (D>10)
34,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,Gd(III),0.0113,295.15,-0.1548,-6.5552,6.2456,6.2456,2.3543,medium (0.5<=D<=10)
